,,order_id,product_id,title,sku_id,sku_name,brand,kind,function,stock_num,天猫链接,天猫链接2,产品名称 ,SKU名称,天猫价格,new_url_1,price1,price2,new_url_2
36,,3330,59219642,芙清保湿抑菌凉茶敷料（6周年款纪念款）,119032046,五周年祛痘凉茶面膜1盒/5片,芙清,面膜,"抗痘祛痘,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.61.4e70c614I9PeY9&id=598095899322,,芙清祛痘凉茶敷料医用淡化痤疮去痘印美术保湿消炎修复补水非面膜,六周年祛痘凉茶敷料1盒/5片,158.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.61.4e70c614I9PeY9&id=598095899322,158.00,-1,
37,,4500,59474675,芙清膏剂敷料护理Ⅱ型（面霜）,117261311,医用修护面霜（50g）,芙清,面霜,"抗痘祛痘,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.37.288ac614ZWTkvo&id=610982260060,,FQ芙清痘痘肌修护膏医用补水锁水保湿敏感肌痤疮过敏皮炎湿疹面霜,医用修护面霜（50g）,158.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.37.288ac614ZWTkvo&id=610982260060&skuId=4473753710201,158.00,-1,
38,,4520,59474651,芙清膏剂敷料护理I型（乳液）,117263126,医用修护乳液（50g）,芙清,乳液,"抗痘祛痘,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.34.13e7c6148p4JQl&id=611729179876,,FQ芙清痘痘肌修护膏修护乳青春痘痤疮皮炎湿疹敏感肌控油护理乳液,医用修护乳液（50g）,158.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.34.13e7c6148p4JQl&id=611729179876&skuId=4650914867774,158.00,-1,
39,芙清旗舰店未找到该商品,2700,60221076,芙清卡波姆湿性修复功能性敷料,118557725,祛痘清洁黑膜1盒/5片,芙清,面膜,"抗痘祛痘,修护",100,,,,,,,-1,-1,
40,该产品为天猫超市,9640,59256853,芙清密钥舒妍清肌卸妆水,116942152,500ml,芙清,卸妆水,清爽清洁,100,https://chaoshi.detail.tmall.com/item.htm?spm=a220m.1000858.1000725.1.35933990sWuLf8&id=655572199693,,芙清密钥舒妍清肌卸妆水眼唇脸三合一深层清洁毛孔温和养肤500ml,500ml,99.00 ,https://chaoshi.detail.tmall.com/item.htm?spm=a220m.1000858.1000725.1.35933990sWuLf8&id=655572199693&skuId=4723274136061,99.00,-1,
41,芙清密钥旗舰店未找到该商品,3390,59219607,芙清密钥丝揉控油持装粉底液,116908933,通用,芙清,粉底液,控油,100,,,,,,,-1,-1,
42,,3120,59683171,芙清液体敷料LD修护I型,117670421,医用修护爽肤水（120ml）,芙清,"爽肤水,修护水","抗痘祛痘,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.79.7372c614dcKhlk&id=611728283471,,芙清医美痘肌修护爽肤水女补水保湿敏感湿敷美容术后泛红医用敷料,医用修护爽肤水（120ml）,148.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.79.7372c614dcKhlk&id=611728283471&skuId=4477005043646,148.00,-1,
43,,1970,59219612,芙清医用促愈功能性敷料,118282126,经典祛痘面膜1盒（5片装）【每2盒1疗程】,芙清,面膜,"抗痘祛痘,修护",0,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.92.66b0c614ixJW8z&id=587051744204,,FQ芙清医用敷料术后修复补水淡化痘印敏感痘肌粉刺祛痘医美非面膜,经典祛痘面膜1盒（5片装）【每2盒1疗程】,188.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.92.66b0c614ixJW8z&id=587051744204,188.00,-1,
44,,1970,59219612,芙清医用促愈功能性敷料,118263745,经典祛痘面膜4盒【2疗程】,芙清,面膜,"抗痘祛痘,修护",0,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.112.66b0c614ixJW8z&id=589127536439,,芙清医用敷料痤疮青春痘粉刺术后修复敏感皮炎祛痘非面膜4盒,经典祛痘面膜4盒,752.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.112.66b0c614ixJW8z&id=589127536439&skuId=4869607331488,752.00,-1,
45,,2930,59219624,芙清医用促愈功能性敷料综合治疗凝胶,116895801,芙清凝胶（30g装）,芙清,面膜,"抗痘祛痘,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.34.5d48c614XDl9Vg&id=587053192746,,芙清医用去痘凝胶抗菌敷料湿疹皮炎痘印痤疮修复促愈功能性祛痘膏,芙清凝胶（30g装）,248.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.34.5d48c614XDl9Vg&id=587053192746&skuId=4576468477975,248.00,-1,
